# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [10 x height_gain] [popularity] [street_width] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 4
v 593 2.2184407 48.7332373 88
v 594 2.2201031 48.7331926 90
v 595 2.2245263 48.7329213 88
v 596 2.2259768 48.7339314 84
v 597 2.2229227 48.7330381 89
v 598 2.2250351 48.7345241 81
v 599 2.2267747 48.7358209 75
v 600 2.2234779 48.7321732 92
v 601 2.2211976 48.7305472 106
v 602 2.2213075 48.7323276 94
v 603 2.2211095 48.730574 106
v 604 2.2225987 48.7330589 89
v 605 2.2225871 48.7322405 93
v 606 2.2191522 48.732467 93
v 607 2.2253049 48.7320454 92
v 608 2.2259379 48.7321331 91
v 609 2.2285348 48.7327101 84
v 610 2.2285608 48.7342986 79
v 611 2.2286391 48.7327802 83
v 612 2.2229765 48.7303938 103
v 613 2.2221833 48.7312624 99
v 614 2.2212112 48.7314091 99
v 615 2.2191353 48.7315591 102
v 616 2.2178843 48.7327034 92
v 617 2.2191167 48.730604 107
v 618 2.2178204 48.7322181 93
v 619 2.2175899 48.7312941 96
v 620 2.2183766 48.7302405 103
v 621 2.2210012 48.7304935 106
v 622 2.2212181 48.73048 106
v 623 2.2251913 48.7295756 115
v 624 2.2265477 48.7290314 106
v 625 2.2293792 48.7274671 118
v 626 2.2211923 48.7304505 107
v 627 2.2232325 48.7288916 131
v 628 2.224068 48.7300214 109
v 629 2.2263132 48.7311242 98
v 630 2.2266691 48.7301615 104
v 631 2.2282974 48.7318704 86
v 632 2.2268278 48.7323786 87
v 633 2.2287104 48.7324497 84
v 634 2.2286709 48.7325994 83
v 635 2.2303654 48.7276221 108
v 636 2.2322745 48.7304595 98
v 637 2.233254 48.7304635 96
v 638 2.2354348 48.7278058 110
v 639 2.2309519 48.7272956 113
v 640 2.2314505 48.7305948 91
v 641 2.2289217 48.7303942 90
v 642 2.2199985 48.7345048 82
v 643 2.2210477 48.7350687 79
v 644 2.2182892 48.7336019 85
v 645 2.2151842 48.7319613 103
v 646 2.2179605 48.7344563 83
v 647 2.2176442 48.7352222 82
v 648 2.2172534 48.736165 86
v 649 2.215168 48.7337125 88
v 650 2.2147379 48.734705 84
v 651 2.2144558 48.735336 85
v 652 2.2143077 48.7357219 88
v 653 2.2140492 48.7353019 86
v 654 2.2143521 48.7346004 84
v 655 2.2108389 48.7352311 94
v 656 2.2156361 48.7357855 87
v 657 2.2185265 48.7367375 85
v 658 2.2226727 48.7373101 89
v 659 2.2246007 48.7372491 91
v 660 2.225828 48.7375053 91
v 661 2.22676 48.7376508 90
v 662 2.2256738 48.7375483 92
v 663 2.2251748 48.7374135 91
v 664 2.2276718 48.737604 90
v 665 2.2253003 48.7397502 96
v 666 2.2261444 48.7386111 90
v 667 2.2295152 48.7382264 85
v 668 2.2211853 48.7385874 95
v 669 2.2251195 48.7366811 79
v 670 2.2210718 48.7371383 87
v 671 2.2210311 48.7304505 106
v 672 2.2253568 48.7278529 113
v 673 2.2241102 48.7266301 124
v 674 2.2234713 48.7259968 132
v 675 2.2245738 48.72898 124
v 676 2.2241543 48.7279625 130
v 677 2.2236683 48.7293538 117
v 678 2.2226235 48.7281168 138
v 679 2.2214115 48.7266671 140
v 680 2.2221217 48.7260927 139
v 681 2.2245207 48.7258875 135
v 682 2.223277 48.7280498 135
v 683 2.2215039 48.7282277 139
v 684 2.2203017 48.7285279 134
v 685 2.2196666 48.7287299 131
v 686 2.2208342 48.7271492 140
v 687 2.2195059 48.7282653 136
v 688 2.2195875 48.7296813 118
v 689 2.2194639 48.7281402 138
v 690 2.2191694 48.7273643 139
v 691 2.2188752 48.7265829 141
v 692 2.2205272 48.7273883 139
v 693 2.2175305 48.7273278 140
v 694 2.2175991 48.7280922 137
v 695 2.2300205 48.7274 114
