# u_old  v_old  key  u_xy  v_xy
200808991 1345325289 0 3371 14182
201191824 199463143 0 3382 3363
201479892 201482437 0 3402 3403
201482437 201479892 0 3403 3402
202358594 202358596 0 3429 3430
202358594 11038070284 0 3429 21922
202379976 586891767 0 3431 11910
202480301 6248084855 0 3438 20496
202549988 243457621 0 3444 5577
203247658 203247659 0 3458 3459
203247658 4317590965 0 3458 19621
203866263 203865005 0 3483 3482
203866263 3230032318 0 3483 18811
203947623 2125815032 0 3490 17111
203947623 2125815029 0 3490 17109
205008696 587639186 0 3524 11934
205331342 205338508 0 3550 3562
205338508 205331342 0 3562 3550
205338660 205338528 0 3566 3564
205350413 1837718933 0 3570 16484
205434192 205460117 0 3574 3599
205460117 205434192 0 3599 3574
205463715 1218923950 0 3603 13929
205465077 205462054 0 3605 3600
205465077 205453141 0 3605 3590
205488077 130033167 0 3621 1560
205494831 130032800 0 3625 1551
205495864 205495345 0 3632 3631
205497520 205497544 0 3645 3646
205497544 205497520 0 3646 3645
205497714 446936330 0 3647 10903
205501475 243988959 0 3689 5741
205502989 1635660764 0 3699 15366
205512896 205512888 0 3714 3713
205512896 205512905 0 3714 3715
205608435 5318255618 0 3728 20073
206097426 331571640 0 3755 9683
206097426 2589163949 0 3755 18240
206130429 206130442 0 3773 3774
206130429 206130445 0 3773 3775
206130445 206130429 0 3775 3773
206142594 96511169 0 3782 1010
206156093 1425506394 0 3785 14585
206156096 199123279 0 3787 3301
206162655 199125094 0 3813 3305
206162662 206162655 0 3817 3813
206162673 199122780 0 3820 3299
206162673 199127868 0 3820 3314
206162675 206162666 0 3821 3818
206162677 206163295 0 3822 3825
206163295 206162677 0 3825 3822
206163299 2483337134 0 3827 18042
206219067 206301481 0 3851 3960
206237093 1830878606 0 3868 15990
206238788 567437436 0 3874 11745
206240048 206240683 0 3878 3882
206240596 206240050 0 3881 3879
206240683 1387812895 0 3882 14502
206266186 206266197 0 3890 3891
206269589 2603049099 0 3901 18263
206279746 7707697239 0 3939 21089
206279749 206274069 0 3940 3909
206279749 206278358 0 3940 3933
206286919 1837326905 0 3944 16471
206292679 206292711 0 3947 3949
206292711 206292862 0 3949 3950
206293525 206293530 0 3951 3952
206293530 206301494 0 3952 3961
206293530 206293525 0 3952 3951
206301466 1590572757 0 3958 15161
206301466 206217262 0 3958 3838
206301494 206293530 0 3961 3952
206307386 206217310 0 3966 3840
206316045 206217309 0 3969 3839
206388680 206389347 0 4043 4057
206389347 206388680 0 4057 4043
206389358 1848897394 0 4058 16649
206389765 206389766 0 4080 4081
206389765 1830878601 0 4080 15989
206389767 208532995 0 4082 4280
206389767 206389761 0 4082 4077
207422128 446136170 0 4097 10843
207422135 415463483 0 4099 10546
207449923 207454567 0 4138 4141
207449923 207453228 0 4138 4140
207459379 207459381 0 4143 4144
207459385 207459388 0 4147 4148
207501541 207502196 0 4156 4171
207502162 207502196 0 4166 4171
207502162 1591374647 0 4166 15165
207502167 2020502247 0 4167 17034
207502196 207501541 0 4171 4156
207502196 207502162 0 4171 4166
208324851 10679469147 0 4198 21831
208334447 10679469149 0 4212 21833
208509592 168745835 0 4242 2384
208514129 208514357 0 4245 4247
208514356 208322798 0 4246 4195
208514357 208514129 0 4247 4245
208533091 208533114 0 4281 4282
208533114 208678454 0 4282 4297
208653797 150743276 0 4289 2131
208653826 150743269 0 4290 2130
208653826 150743280 0 4290 2132
208678454 208533114 0 4297 4282
208693462 895738400 0 4306 13212
208717348 1833665908 0 4313 16135
208717348 208720859 0 4313 4314
208839948 2576959242 0 4317 18218
209090607 208705964 0 4360 4310
209140651 801179550 0 4368 12928
211217155 1831131664 0 4411 16021
213850880 1415123818 0 4448 14547
213851917 7740598781 0 4449 21100
215108886 793649105 0 4468 12880
215927388 1342050608 0 4502 14165
215930007 215927388 0 4504 4502
215932070 215932073 0 4505 4506
215932073 215932070 0 4506 4505
216354097 216354819 0 4514 4515
216400650 216354097 0 4530 4514
216400650 199463042 0 4530 3360
216482808 9342663726 0 4558 21483
218202575 262820456 0 4586 7426
218202732 3723358499 0 4588 19236
218202732 3723358500 0 4588 19237
218318295 218318414 0 4613 4623
218318414 218318295 0 4623 4613
218318462 218318490 0 4626 4629
218318490 218318462 0 4629 4626
218318735 253360140 0 4642 6742
224294973 385765852 0 4662 10372
224773566 60579692 0 4665 859
226266865 302059608 0 4670 8678
229191504 229190922 0 4693 4692
229863124 229857834 0 4741 4736
229902749 844093692 0 4749 13068
229902752 229914991 0 4750 4756
229914991 229902752 0 4756 4750
231762248 746754572 0 4786 12753
231934435 7187430997 0 4827 20934
231946329 231946450 0 4829 4830
231946329 96487231 0 4829 999
237071581 237071583 0 4898 4899
237071583 237071581 0 4899 4898
237079626 247156831 0 4926 6097
237079629 237079632 0 4927 4928
237416445 5310490249 0 4946 20064
237605290 415803970 0 4962 10552
237628132 5678186342 0 4972 20246
241160278 241158753 0 5012 5010
241160278 241158765 0 5012 5011
241468896 349035966 0 5017 9913
241468928 5473644313 0 5022 20171
241468971 10769716405 0 5025 21859
241468971 233273804 0 5025 4889
241468980 241468945 0 5027 5023
241469884 241468978 0 5028 5026
241473612 2427305657 0 5036 17930
241485407 2400916042 0 5040 17899
241485430 2400916041 0 5045 17898
241485430 319191772 0 5045 9519
241485445 241485468 0 5048 5051
241485468 241485445 0 5051 5048
241595607 241595611 0 5099 5100
241595611 241595607 0 5100 5099
241802917 10751894107 0 5146 21850
241889760 241889767 0 5196 5197
241889767 241889760 0 5197 5196
241891140 8643853033 0 5199 21345
241891140 241891142 0 5199 5200
241893998 255426792 0 5214 6904
241928634 241929205 0 5245 5252
241929205 241928634 0 5252 5245
241929567 1849046223 0 5259 16660
242163690 1849046225 0 5266 16661
242246319 242564659 0 5287 5319
242246319 242564512 0 5287 5318
242542750 8084552398 0 5290 21199
242548315 242548265 0 5298 5296
242548319 242548321 0 5299 5300
242566128 242570633 0 5324 5330
242571707 242573024 0 5331 5333
242571707 242572203 0 5331 5332
242578362 242578356 0 5346 5345
242578364 242566130 0 5347 5325
242579488 626873185 0 5351 12166
242580336 242580338 0 5353 5354
242696718 139460608 0 5357 1876
242698294 125629793 0 5360 1489
242773027 115647966 0 5365 1302
242927190 242927239 0 5392 5397
242927212 1293307999 0 5394 14014
242927239 242927190 0 5397 5392
242927239 243191638 0 5397 5432
243192300 573423501 0 5439 11842
243203752 5152474383 0 5445 19965
243204391 475021305 0 5460 11291
243207980 243208074 0 5472 5479
243208074 243207975 0 5479 5471
243209380 1238508015 0 5488 13950
243215300 1845970613 0 5515 16622
243346148 353871044 0 5543 9975
243346407 353871025 0 5545 9973
243349444 1843322334 0 5569 16575
243455222 81079742 0 5574 919
243680866 243680871 0 5616 5618
243680871 243680866 0 5618 5616
243738820 1838154306 0 5644 16507
243892082 244348841 0 5667 5809
243898107 243898112 0 5710 5712
243988959 205501475 0 5741 3689
244148167 1275941205 0 5797 13985
244348841 243892082 0 5809 5667
244429681 244429727 0 5823 5826
244429681 2644686866 0 5823 18332
244429681 2644686854 0 5823 18331
244429727 244429681 0 5826 5823
244429727 244429717 0 5826 5824
244438301 244438581 0 5827 5829
244438581 244438301 0 5829 5827
244438682 244438642 0 5832 5831
244509776 244509773 0 5845 5844
244509778 244509777 0 5847 5846
244509778 7147532285 0 5847 20907
244510586 2128295708 0 5850 17126
244510657 502847853 0 5854 11547
244602160 244601901 0 5902 5901
244603161 30730579 0 5906 322
244603489 247220604 0 5908 6124
244909657 244909996 0 5919 5920
245403218 34958085 0 5927 438
246140534 246140849 0 6011 6018
246140848 246140849 0 6017 6018
246140849 246140534 0 6018 6011
246140849 246140848 0 6018 6017
246140919 246142685 0 6019 6026
246140921 246140417 0 6020 6008
246142628 246142722 0 6025 6027
246142722 246142628 0 6027 6025
246147001 246146747 0 6042 6040
246147001 246146950 0 6042 6041
246154995 251686567 0 6049 6608
246154995 251686732 0 6049 6610
246154997 3800523058 0 6050 19345
246154997 11393992664 0 6050 22098
246161445 246161611 0 6053 6054
246161611 246161445 0 6054 6053
246187255 2663544553 0 6058 18360
246187288 7640517641 0 6061 21058
246787078 660896572 0 6086 12351
247156831 237079626 0 6097 4926
247220604 244603489 0 6124 5908
247471561 247471551 0 6157 6156
247471568 247471561 0 6158 6157
247473144 247473157 0 6161 6164
247473144 247473145 0 6161 6162
247473146 727410889 0 6163 12729
247473146 1587375011 0 6163 15152
247473572 247473577 0 6169 6171
247473577 247473574 0 6171 6170
247567119 7261940104 0 6173 20952
247576267 247576272 0 6185 6186
247576272 247579754 0 6186 6194
247852248 3191577802 0 6222 18789
247855756 251745533 0 6224 6655
247856003 251745514 0 6225 6654
247856342 247856855 0 6226 6227
247866764 2565542650 0 6231 18210
248175283 260284445 0 6245 7342
248768834 248768843 0 6259 6262
248768837 248768834 0 6260 6259
248769203 2834626615 0 6266 18515
248878308 199164227 0 6271 3323
248898687 248898741 0 6276 6285
248898689 248898732 0 6277 6281
248898732 248898689 0 6281 6277
249549514 125487646 0 6297 1471
249662613 249662614 0 6311 6312
249744390 419786696 0 6314 10604
250346766 355602426 0 6320 9987
250346769 4842715388 0 6321 19879
250553450 251137254 0 6357 6422
250553489 1298833122 0 6362 14033
250972292 250972605 0 6389 6391
250972499 250972605 0 6390 6391
250972605 250972292 0 6391 6389
250976062 250976325 0 6404 6405
250976062 206096981 0 6404 3749
251137275 1836073202 0 6427 16409
251137349 446080856 0 6435 10820
251137736 10914984941 0 6447 21891
251141597 4551438160 0 6448 19771
251141629 251141597 0 6451 6448
251153881 251153884 0 6478 6479
251154513 251152513 0 6481 6468
251301132 251302786 0 6484 6486
251302784 251301132 0 6485 6484
251489933 34909805 0 6511 416
251489933 251489815 0 6511 6509
251490191 169278795 0 6512 2390
251490191 251481403 0 6512 6508
251613233 251613255 0 6538 6539
251613233 244510657 0 6538 5854
251670924 2888195837 0 6559 18588
251671658 251671659 0 6561 6562
251671659 251671658 0 6562 6561
251672386 2481965890 0 6572 18034
251673259 251673266 0 6575 6576
251673266 251673259 0 6576 6575
251673285 251850940 0 6579 6691
251673289 251878913 0 6581 6694
251684314 251684316 0 6593 6594
251684314 290041643 0 6593 8205
251690547 251690559 0 6619 6620
251690559 251690547 0 6620 6619
251745514 247856003 0 6654 6225
251745514 251745533 0 6654 6655
251745533 247855756 0 6655 6224
251745589 251745570 0 6659 6656
251749880 251749986 0 6662 6668
251749884 251749886 0 6663 6664
251749884 251825983 0 6663 6688
251749962 251613381 0 6667 6544
251803324 3667429555 0 6675 19169
251821100 251821334 0 6680 6681
251821334 251821100 0 6681 6680
251821789 251821793 0 6684 6685
251821793 251821789 0 6685 6684
251849704 192491767 0 6689 2847
251849704 251142238 0 6689 6454
251850940 251673285 0 6691 6579
251878913 251673289 0 6694 6581
253357342 471845470 0 6734 11281
253360140 10702914041 0 6742 21839
253360140 218318735 0 6742 4642
253360820 412430819 0 6749 10524
253360820 253360818 0 6749 6748
253362657 251152513 0 6750 6468
253850536 137605396 0 6787 1662
253857805 10124007301 0 6796 21706
253863119 253863115 0 6806 6805
253864749 253864705 0 6815 6810
253865687 253865691 0 6819 6820
253865691 253865687 0 6820 6819
253869198 5602878952 0 6831 20205
253869198 253360814 0 6831 6747
255424971 3428139560 0 6893 18973
255425812 331879377 0 6897 9686
255426792 255426870 0 6904 6906
257037441 6030792600 0 6954 20417
257043109 371252240 0 6957 10284
257043109 371252230 0 6957 10283
257802921 257803354 0 6991 6994
257803354 257802921 0 6994 6991
257811113 9251045008 0 7011 21457
257811470 207438426 0 7014 4109
257811968 1205057918 0 7015 13910
257830421 268401580 0 7023 7666
257840735 257802188 0 7030 6988
258522296 137292918 0 7052 1641
258525440 258534993 0 7093 7127
258525440 1835348119 0 7093 16317
258525447 258534712 0 7095 7124
258525447 258525444 0 7095 7094
258527192 258527195 0 7107 7108
258527192 197445822 0 7107 3089
259245973 2200063464 0 7230 17382
259245973 470340588 0 7230 11226
259436185 722663087 0 7236 12709
260008162 192823013 0 7330 2887
260010047 8495301579 0 7333 21316
260017871 260018005 0 7340 7341
260018005 1584768445 0 7341 15123
260428084 260428087 0 7346 7347
260775608 260775606 0 7377 7376
262818988 253863285 0 7413 6809
262820456 218202575 0 7426 4586
265708314 267039539 0 7451 7460
267039539 265708314 0 7460 7451
267039703 276731211 0 7462 7832
267040030 277426918 0 7465 7841
267040304 975538780 0 7472 13493
267147810 2389846037 0 7485 17851
267204030 307877533 0 7507 9021
267219480 694103896 0 7513 12629
