# old_node_id  xy_node_id  cell_id  hop_distance
241893987 5209 74 2
4596652754 19784 75 2
268400914 7625 75 2
3589368316 19125 75 2
834354650 13020 75 2
975539115 13509 75 2
268400638 7611 75 2
268400767 7618 75 2
243028012 5407 76 2
243028699 5408 76 2
30889955 395 76 2
30793940 393 76 2
1868380603 16791 77 2
1868380581 16789 77 2
203314776 3471 77 2
1868380573 16785 77 2
8627212691 21341 78 2
1836073259 16420 78 2
4438210374 19721 78 2
1836073300 16429 78 2
1836073318 16432 78 2
1836073324 16434 78 2
260956133 7384 78 2
826278651 12990 79 2
82408971 938 79 2
100294771 1043 79 2
24913022 91 79 2
139489289 1899 80 2
139463935 1877 80 2
798517239 12901 81 2
2393053875 17867 81 2
2393053882 17868 81 2
798534579 12912 81 2
241587218 5081 81 2
156823790 2230 82 2
153555212 2172 82 2
1072393114 13748 82 2
176811524 2542 83 2
622463911 12152 83 2
178761839 2703 83 2
178762171 2705 83 2
178762726 2709 83 2
421982823 10614 84 2
512492369 11603 84 2
209163500 4369 84 2
81079980 926 85 2
907016370 13277 85 2
81080003 929 85 2
7607888126 21030 85 2
243551825 5604 86 2
628102185 12170 86 2
243214666 5510 86 2
243556191 5606 86 2
3523420060 19071 86 2
4712953472 19816 87 2
10025656107 21673 87 2
4085724813 19491 87 2
218233621 4601 87 2
251673285 6579 88 2
10079519704 21698 88 2
251673266 6576 88 2
1807974213 15858 89 2
2786125677 18464 89 2
258986831 7193 89 2
258986834 7194 89 2
221455388 4660 90 2
1696645842 15585 90 2
1862632115 16711 90 2
60579527 856 91 2
1839312798 16536 91 2
1839312771 16534 91 2
247643806 6207 92 2
2278313518 17495 92 2
2514427311 18117 92 2
141602553 1958 93 2
141602065 1953 93 2
34909797 414 93 2
276973213 7834 93 2
141605932 1972 93 2
141605425 1969 93 2
2635498664 18315 94 2
1269253635 13977 94 2
200681317 3368 94 2
198901162 3258 94 2
198892947 3257 94 2
198892945 3256 94 2
198804408 3196 94 2
603163467 12045 95 2
1476632987 14690 95 2
1577263449 15103 95 2
3737690951 19246 95 2
251693054 6646 96 2
251689821 6614 96 2
3482617236 19016 96 2
298740595 8561 97 2
298740591 8560 97 2
2199915784 17366 97 2
2199915716 17358 97 2
251878916 6695 98 2
251878965 6698 98 2
6451042350 20633 99 2
296936360 8448 99 2
296628123 8415 99 2
244139442 5793 99 2
268401743 7676 99 2
7900253897 21166 99 2
228380322 4682 0 3
1554021858 15044 0 3
30730574 319 0 3
30732853 326 0 3
30693117 300 0 3
30693111 297 0 3
30732876 330 0 3
228380508 4683 0 3
212579932 4423 1 3
212584232 4426 1 3
212570157 4419 1 3
212590659 4431 1 3
212586782 4427 1 3
428638008 10644 1 3
2605910300 18267 1 3
420407653 10607 2 3
9386023670 21504 2 3
36709331 666 2 3
36709338 668 2 3
243459249 5584 3 3
11909259872 22197 3 3
6303523403 20522 3 3
703501197 12674 3 3
430486834 10650 3 3
139309192 1849 4 3
144503587 2041 4 3
139310605 1856 4 3
139310596 1854 4 3
241599920 5114 5 3
2801907754 18480 5 3
247178411 6101 5 3
247179844 6119 5 3
247178648 6110 5 3
241596480 5108 5 3
241600487 5115 5 3
251691635 6630 5 3
251691802 6634 5 3
266181079 7455 5 3
319463634 9537 6 3
319460829 9524 6 3
319463632 9536 6 3
2360861939 17793 6 3
319460827 9522 6 3
319461794 9528 6 3
319462413 9530 6 3
2427305666 17934 7 3
10957734597 21904 7 3
2488232806 18072 7 3
438369991 10703 7 3
2636637264 18327 7 3
446107369 10828 7 3
302058789 8651 7 3
302058788 8650 7 3
302058298 8640 7 3
11114545044 21949 7 3
229193603 4698 8 3
2245359453 17444 8 3
3685244046 19214 8 3
499176142 11497 8 3
231117684 4770 8 3
6130088225 20448 8 3
596378142 11960 9 3
869058930 13107 9 3
597456218 11964 9 3
1826683675 15896 9 3
598659856 11988 9 3
598659722 11983 9 3
598659884 11991 9 3
8613160583 21335 9 3
34912004 424 10 3
5984171188 20404 10 3
5973001564 20402 10 3
1183626945 13867 10 3
260776317 7380 10 3
49745250 715 10 3
416426555 10574 11 3
1177465135 13856 11 3
1327525576 14120 11 3
178683528 2613 12 3
178689741 2622 12 3
2734856715 18423 12 3
1016444167 13581 12 3
176837387 2561 12 3
247156558 6093 12 3
237080695 4932 12 3
1361480948 14335 13 3
1361480970 14338 13 3
1790325463 15787 13 3
1361480921 14330 13 3
1889938845 16863 14 3
1889938816 16861 14 3
209187782 4396 14 3
1846876972 16642 14 3
209187482 4371 14 3
209187600 4379 14 3
209187573 4377 14 3
7157674186 20923 14 3
259698073 7246 14 3
216373086 4523 15 3
387219889 10378 15 3
215908453 4496 15 3
216450605 4552 15 3
386786189 10377 15 3
302518518 8717 16 3
302520754 8736 16 3
302518823 8722 16 3
303381709 8856 16 3
259464732 7241 16 3
302791964 8770 16 3
303381352 8851 16 3
302520354 8735 16 3
243892333 5692 17 3
7162567400 20925 17 3
243892274 5689 17 3
1345346812 14184 17 3
243892180 5670 17 3
1723073680 15663 17 3
243892256 5684 17 3
192748702 2854 18 3
1044937982 13706 18 3
8998495667 21411 18 3
192762011 2864 18 3
192764549 2868 18 3
112344328 1239 19 3
108274337 1178 19 3
5422134980 20166 19 3
974136864 13483 19 3
4307549378 19605 19 3
112356308 1243 19 3
491515640 11319 19 3
2941806994 18635 19 3
6396049190 20581 19 3
118116929 1423 20 3
118115745 1420 20 3
118114602 1416 20 3
298621044 8544 20 3
118116935 1424 20 3
256401920 6921 20 3
559061966 11685 20 3
276079027 7810 21 3
100295663 1051 21 3
276076536 7804 21 3
282174541 7942 21 3
276076422 7802 21 3
292466081 8361 22 3
4327646380 19648 22 3
2212092022 17410 22 3
2889057674 18591 22 3
616199997 12097 22 3
6490109615 20676 22 3
314924871 9298 22 3
193930130 2956 23 3
158520542 2259 23 3
6462442442 20635 23 3
206136947 3780 23 3
129534734 1519 23 3
125629785 1487 23 3
1832557168 16079 24 3
2071426046 17078 24 3
6449253091 20629 24 3
1832557209 16088 24 3
672476301 12437 25 3
672476322 12440 25 3
205250381 3543 25 3
672476378 12441 25 3
354998597 9981 25 3
205231699 3529 25 3
197313671 3041 26 3
198657191 3166 26 3
35133831 458 26 3
250791273 6366 26 3
197163725 3035 26 3
36800659 670 26 3
303861569 8886 27 3
303861541 8878 27 3
4878949433 19885 27 3
303861625 8896 27 3
569936399 11788 27 3
255419800 6873 28 3
3675966224 19189 28 3
255419209 6869 28 3
1643096963 15388 28 3
1648815331 15424 28 3
3675962722 19188 28 3
4811304247 19838 28 3
363907049 10100 29 3
363906948 10096 29 3
363907112 10101 29 3
